Key,"Where it appears",English,Language,"Current translation",Status,"Correction (fill in if wrong)"
footer.copyright,"Footer (every page)","Copyright © 2021&nbsp;<a href=""#"">Raybon chemicals</a>. Developed by <a href=""http://www.backyardcommunication.com"" target=""_blank"">Backyard Communication</a>. All rights reserved.",Gujarati,"કૉપિરાઇટ © 2021 <a href=""#"">Raybon Chemicals</a>. બેકયાર્ડ કોમ્યુનિકેશન દ્વારા વિકસાવવામાં આવ્યું. સંપૂર્ણ હકો સંરક્ષિત છે.","machine translated - please check",
meta.index.title,"Browser tab + Google result","Water Treatment Chemicals & Polymers | Raybon Chemicals",Hindi,"जल उपचार रसायन और बहुलक | Raybon Chemicals","machine translated - please check",
meta.index.title,"Browser tab + Google result","Water Treatment Chemicals & Polymers | Raybon Chemicals",Gujarati,"જળ શુદ્ધિકરણ રસાયણો અને પોલિમર | Raybon Chemicals","machine translated - please check",
meta.index.description,"Browser tab + Google result","Raybon Chemicals supplies water and wastewater treatment chemicals, polyelectrolytes, antiscalants, and equipment. Serving industries since 1994 from Vadodara, Gujarat.",Hindi,"एक्स.क्यू.0क्यू.एक्स. पानी और अपशिष्ट जल उपचार रसायन, एक्स.क्यू.1क्यू.एक्स., एंटीस्कैलेंट और उपकरण की आपूर्ति करता है। 1994 एफ.एक्स.क्यू.4क्यू.एक्स.एम. एक्स.क्यू.2क्यू.एक्स., एक्स.क्यू.3क्यू.एक्स. से सेवा दे रहे हैं।","machine translated - please check",
meta.index.description,"Browser tab + Google result","Raybon Chemicals supplies water and wastewater treatment chemicals, polyelectrolytes, antiscalants, and equipment. Serving industries since 1994 from Vadodara, Gujarat.",Gujarati,"Raybon Chemicals પાણી અને ગંદા પાણીના સારવાર રસાયણો, Polyelectrolytes, એન્ટિસ્કેલન્ટ્સ અને સાધનો પૂરા પાડે છે. 1994 FROm Vadodara, Gujarat થી સેવા આપતા ઉદ્યોગો.","machine translated - please check",
meta.index.keywords,"Browser tab + Google result","Raybon Chemicals, water treatment chemicals, wastewater treatment, polyelectrolytes, antiscalants",Hindi,"एक्सक्यू0क्यूएक्स, जल उपचार रसायन, अपशिष्ट जल उपचार, एक्सक्यू1क्यूएक्स, एंटीस्कैलेंट","machine translated - please check",
meta.index.keywords,"Browser tab + Google result","Raybon Chemicals, water treatment chemicals, wastewater treatment, polyelectrolytes, antiscalants",Gujarati,"Raybon Chemicals, જળ શુદ્ધિકરણ રસાયણો, ગંદા પાણી શુદ્ધિકરણ, Polyelectrolytes, એન્ટિસ્કેલન્ટ્સ","machine translated - please check",
meta.index.h1,"Browser tab + Google result","Water and Waste Water Chemicals and Equipment",Hindi,"जल और अपशिष्ट जल रसायन और उपकरण","machine translated - please check",
meta.index.h1,"Browser tab + Google result","Water and Waste Water Chemicals and Equipment",Gujarati,"પાણી અને ગંદા પાણીના રસાયણો અને સાધનો","machine translated - please check",
meta.product.title,"Browser tab + Google result","Our Products | Raybon Chemicals",Hindi,"हमारा PROducts | Raybon Chemicals","machine translated - please check",
meta.product.title,"Browser tab + Google result","Our Products | Raybon Chemicals",Gujarati,"અમારા PROducts | Raybon Chemicals","machine translated - please check",
meta.product.description,"Browser tab + Google result","Browse Raybon Chemicals' full range of water treatment products — polyelectrolytes, antiscalants, bacterial cultures, defoamers, activated carbon, and more.",Hindi,"बी.एक्स.क्यू.5क्यू.एक्स.डब्ल्यू.एस.ई. एक्स.क्यू.1क्यू.एक्स. पूर्ण श्रृंखला के जल उपचार pROducts - Polyelectrolytes, एंटीस्केलेंट, Bacterial Cultures, Defoamers, Activated Carbon और अधिक।","machine translated - please check",
meta.product.description,"Browser tab + Google result","Browse Raybon Chemicals' full range of water treatment products — polyelectrolytes, antiscalants, bacterial cultures, defoamers, activated carbon, and more.",Gujarati,"BROwse Raybon Chemicals' પાણીના સારવારના pROducts - Polyelectrolytes, એન્ટિસ્કેલન્ટ્સ, Bacterial Cultures, Defoamers, Activated Carbon અને વધુની સંપૂર્ણ શ્રેણી.","machine translated - please check",
meta.product.keywords,"Browser tab + Google result","Raybon Chemicals, water treatment products, polyelectrolytes, antiscalants, defoamers",Hindi,"Raybon Chemicals, जल उपचार pROडक्ट्स, Polyelectrolytes, एंटीस्केलेंट, Defoamers","machine translated - please check",
meta.product.keywords,"Browser tab + Google result","Raybon Chemicals, water treatment products, polyelectrolytes, antiscalants, defoamers",Gujarati,"Raybon Chemicals, પાણીના સારવાર pROducts, Polyelectrolytes, એન્ટિસ્કેલન્ટ્સ, Defoamers","machine translated - please check",
meta.product.h1,"Browser tab + Google result","Our Products",Hindi,"हमारे PROducts","machine translated - please check",
meta.product.h1,"Browser tab + Google result","Our Products",Gujarati,પાઈપ,"machine translated - please check",
meta.contact.title,"Browser tab + Google result","Contact Us | Raybon Chemicals",Hindi,"संपर्क करें","machine translated - please check",
meta.contact.title,"Browser tab + Google result","Contact Us | Raybon Chemicals",Gujarati,"અમારો સંપર્ક કરો","machine translated - please check",
meta.contact.description,"Browser tab + Google result","Contact Raybon Chemicals in Vadodara, Gujarat. Call +91 265 298 57 33 or email chemicals@raybonchemicals.com for quotes, support, and product inquiries.",Hindi,"Raybon Chemicals से Vadodara, Gujarat में संपर्क करें। उद्धरण, सहायता, और pROduct पूछताछ के लिए +91 265 298 57 33 पर कॉल करें या chemicals@raybonchemicals.com ईमेल करें।","machine translated - please check",
meta.contact.description,"Browser tab + Google result","Contact Raybon Chemicals in Vadodara, Gujarat. Call +91 265 298 57 33 or email chemicals@raybonchemicals.com for quotes, support, and product inquiries.",Gujarati,"Raybon Chemicals, Gujarat માં Raybon Chemicals નો સંપર્ક કરો. કિંમત, સહાય અને pROduct પૂછપરછ માટે +91 265 298 57 33 પર કૉલ કરો અથવા chemicals@raybonchemicals.com પર ઇમેઇલ કરો.","machine translated - please check",
meta.contact.keywords,"Browser tab + Google result","Raybon Chemicals, contact, Vadodara, water treatment quote",Hindi,"Raybon Chemicals, संपर्क, Vadodara, जल शोधन मूल्य-सूची","machine translated - please check",
meta.contact.keywords,"Browser tab + Google result","Raybon Chemicals, contact, Vadodara, water treatment quote",Gujarati,"Raybon Chemicals, સંપર્ક, પાણી શુદ્ધિકરણનો ભાવપત્ર","machine translated - please check",
meta.contact.h1,"Browser tab + Google result",Contact,Hindi,सम्पर्क,"machine translated - please check",
meta.contact.h1,"Browser tab + Google result",Contact,Gujarati,સંપર્ક,"machine translated - please check",
meta.aboutus-1.title,"Browser tab + Google result","Company Overview | Raybon Chemicals",Hindi,"कंपनी का विवरण | Raybon Chemicals","machine translated - please check",
meta.aboutus-1.title,"Browser tab + Google result","Company Overview | Raybon Chemicals",Gujarati,"કંપનીનો સારાંશ | Raybon Chemicals","machine translated - please check",
meta.aboutus-1.description,"Browser tab + Google result","Learn about Raybon Chemicals — a Vadodara-based supplier of water and effluent treatment chemicals, dewatering polymers, and MEE antiscalants since 1994.",Hindi,"1994 से Raybon Chemicals - जल और अपशिष्ट जल उपचार रसायन, निर्जलीकरण बहुलक और MEE Antiscalants के एक आपूर्तिकर्ता के बारे में जानें।","machine translated - please check",
meta.aboutus-1.description,"Browser tab + Google result","Learn about Raybon Chemicals — a Vadodara-based supplier of water and effluent treatment chemicals, dewatering polymers, and MEE antiscalants since 1994.",Gujarati,"1994થી પાણી અને ગંદા પાણીના સારવાર રસાયણો, ડિવેટરિંગ પોલિમર અને MEE Antiscalants ના Raybon Chemicals આધારિત સપ્લાયર વિશે જાણો.","machine translated - please check",
meta.aboutus-1.keywords,"Browser tab + Google result","Raybon Chemicals, company overview, water treatment, Vadodara",Hindi,"Raybon Chemicals, कंपनी का विवरण, जल शोधन, Vadodara","machine translated - please check",
meta.aboutus-1.keywords,"Browser tab + Google result","Raybon Chemicals, company overview, water treatment, Vadodara",Gujarati,"Raybon Chemicals, કંપનીનો પરિચય, જળ શુદ્ધિકરણ, Vadodara","machine translated - please check",
meta.aboutus-1.h1,"Browser tab + Google result","Company Overview",Hindi,"कंपनी का विवरण","machine translated - please check",
meta.aboutus-1.h1,"Browser tab + Google result","Company Overview",Gujarati,"કંપનીનું વર્ણન","machine translated - please check",
meta.aboutus-2.title,"Browser tab + Google result","CEO's Desk | Raybon Chemicals",Hindi,"मुख्य कार्यकारी अधिकारी का कार्यालय | Raybon Chemicals","machine translated - please check",
meta.aboutus-2.title,"Browser tab + Google result","CEO's Desk | Raybon Chemicals",Gujarati,"મુખ્ય કાર્યકારી અધિકારીઓનું કાર્યાલય | Raybon Chemicals","machine translated - please check",
meta.aboutus-2.description,"Browser tab + Google result","A message from Raybon Chemicals leadership on outperforming polymers with outstanding service, long-term customer partnerships, and sustainable water treatment solutions.",Hindi,"उत्कृष्ट सेवा, दीर्घकालिक ग्राहक साझेदारी और टिकाऊ जल उपचार समाधानों के साथ पॉलिमर को बेहतर प्रदर्शन करने पर नेतृत्व करने के लिए एक संदेश एफएक्सक्यू1क्यूएक्सएम एक्सक्यू0क्यूएक्स।","machine translated - please check",
meta.aboutus-2.description,"Browser tab + Google result","A message from Raybon Chemicals leadership on outperforming polymers with outstanding service, long-term customer partnerships, and sustainable water treatment solutions.",Gujarati,"ઉત્કૃષ્ટ સેવા, લાંબા ગાળાના ગ્રાહક ભાગીદારી અને ટકાઉ જળ સારવાર ઉકેલો સાથે પોલિમર કરતાં વધુ સારું પ્રદર્શન કરવા માટે નેતૃત્વ પર એક સંદેશ.","machine translated - please check",
meta.aboutus-2.keywords,"Browser tab + Google result","Raybon Chemicals, CEO, water treatment company, Vadodara",Hindi,"Raybon Chemicals, सी.ई.ओ., जल शोधन कंपनी, Vadodara","machine translated - please check",
meta.aboutus-2.keywords,"Browser tab + Google result","Raybon Chemicals, CEO, water treatment company, Vadodara",Gujarati,"Raybon Chemicals, CEO, જળ શુદ્ધિકરણ કંપની, Vadodara","machine translated - please check",
meta.aboutus-2.h1,"Browser tab + Google result","CEO's Desk",Hindi,"मुख्य कार्यकारी अधिकारी का कक्ष","machine translated - please check",
meta.aboutus-2.h1,"Browser tab + Google result","CEO's Desk",Gujarati,"મુખ્ય કાર્યકારી અધિકારીઓનું કાર્યાલય","machine translated - please check",
home.hero.1.eyebrow,"Home page","Flocculants &amp; Coagulants",Hindi,"फ्लॉकुलेंट और कोएगुलेंट","HAND-CORRECTED - please confirm",
home.hero.1.eyebrow,"Home page","Flocculants &amp; Coagulants",Gujarati,"ફ્લોક્યુલન્ટ અને કોએગ્યુલન્ટ","HAND-CORRECTED - please confirm",
home.hero.1.desc,"Home page","Cationic, anionic and non-ionic flocculants for solid&ndash;liquid separation &mdash; clarifiers, decanters, belt presses and sludge dewatering.",Hindi,"ठोस-तरल पृथक्करण के लिए कैटायनिक, एनियॉनिक और गैर-आयनीक फ्लोकुलेंट - क्लारीफायर, डिकैंटर, एक्स.क्यू.0.क्यू.एक्स. और कीचड़ निर्जलीकरण।","machine translated - please check",
home.hero.1.desc,"Home page","Cationic, anionic and non-ionic flocculants for solid&ndash;liquid separation &mdash; clarifiers, decanters, belt presses and sludge dewatering.",Gujarati,"ઘન-પ્રવાહી અલગતા માટે કેશનિક, એનાયનિક અને બિન-આયનીય ફ્લોક્ક્યુલન્ટ્સ-ક્લેરિફાયર, ડેકાન્ટર, એક્સ.ક્યુ.0.ક્યુ.એક્સ. અને કાદવ ડિવાટરિંગ.","machine translated - please check",
home.hero.2.eyebrow,"Home page","Evaporator Chemicals",Hindi,"वाष्पीकरण रसायन","machine translated - please check",
home.hero.2.eyebrow,"Home page","Evaporator Chemicals",Gujarati,"રાસાયણિક વરાળ","machine translated - please check",
home.hero.2.desc,"Home page","Antiscalants and antifoams that retard scale in Multiple Effect Evaporators, keeping heat transfer efficient and cleaning cycles far apart.",Hindi,"मल्टीपल इफ़ेक्ट बाष्पीकरण यंत्रों में स्केल को धीमा करने वाले और एंटीफोम, जो गर्मी हस्तांतरण को कुशल बनाए रखते हैं और सफाई चक्रों को दूर रखते हैं।","machine translated - please check",
home.hero.2.desc,"Home page","Antiscalants and antifoams that retard scale in Multiple Effect Evaporators, keeping heat transfer efficient and cleaning cycles far apart.",Gujarati,"એન્ટિસ્કેલન્ટ્સ અને એન્ટિફૉમ્સ કે જે મલ્ટીપલ ઇફેક્ટ બાષ્પીભવકોમાં સ્કેલને ધીમું કરે છે, ગરમીના સ્થાનાંતરણને કાર્યક્ષમ રાખે છે અને સફાઈ ચક્રને દૂર રાખે છે.","machine translated - please check",
home.hero.3.eyebrow,"Home page","Membrane Chemicals",Hindi,"झिल्ली रसायन","machine translated - please check",
home.hero.3.eyebrow,"Home page","Membrane Chemicals",Gujarati,"પટલ રસાયણ","machine translated - please check",
home.hero.3.desc,"Home page","NC / NSF approved antiscalants and membrane cleaning chemicals for longer run times, lower pressure drop and extended element life.",Hindi,"एन.सी./एन.एस.एफ. ए.पी.एक्स.क्यू.0क्यू.एक्स.वी.डी. एंटीस्कैलेंट और मेम्ब्रेन क्लीनिंग केमिकल लंबे समय तक चलने वाले समय, कम दबाव डी.एक्स.क्यू.0क्यू.एक्स.पी. और विस्तारित तत्व जीवन के लिए।","machine translated - please check",
home.hero.3.desc,"Home page","NC / NSF approved antiscalants and membrane cleaning chemicals for longer run times, lower pressure drop and extended element life.",Gujarati,"એનસી/એનએસએફ એપએક્સક્યુ0ક્યુએક્સવેડ એન્ટીસ્કેલેન્ટ્સ અને મેમ્બ્રેન ક્લીનિંગ કેમિકલ્સ લાંબા સમય સુધી ચાલવા, ઓછા દબાણ ડીએક્સક્યુ0ક્યુએક્સપી અને વિસ્તૃત તત્વ જીવન માટે.","machine translated - please check",
home.hero.4.eyebrow,"Home page","Biological Treatment",Hindi,"जैविक उपचार","machine translated - please check",
home.hero.4.eyebrow,"Home page","Biological Treatment",Gujarati,"જૈવિક ઉપચાર","machine translated - please check",
home.hero.4.desc,"Home page","Customised cultures for sewage and industrial effluent that cut COD and ammoniacal nitrogen through faster biological breakdown.",Hindi,"सीवेज और औद्योगिक अपशिष्ट के लिए अनुकूलित संस्कृतियाँ जो सी.क्यू.0क्यू.एक्स. और अमोनियाकैल नाइट्रैक्स.क्यू.1क्यू.एक्स. को तेजी से जैविक विघटन करती हैं।","machine translated - please check",
home.hero.4.desc,"Home page","Customised cultures for sewage and industrial effluent that cut COD and ammoniacal nitrogen through faster biological breakdown.",Gujarati,"ગટર અને ઔદ્યોગિક કચરા માટે કસ્ટમાઇઝ્ડ સંસ્કૃતિઓ કે જે COD અને એમોનિયાકલ નાઇટએક્સક્યુ1ક્યુએક્સને ઝડપથી જૈવિક વિઘટિત કરે છે.","machine translated - please check",
home.hero.5.eyebrow,"Home page","Foam Control",Hindi,"फोम नियंत्रण","HAND-CORRECTED - please confirm",
home.hero.5.eyebrow,"Home page","Foam Control",Gujarati,"ફોમ નિયંત્રણ","HAND-CORRECTED - please confirm",
home.hero.5.desc,"Home page","Foam control agents formulated for aeration tanks &mdash; they suppress foam without inhibiting the biomass or the oxygenation capacity.",Hindi,"एज़ेज़: एज़ेज़ टैंकों के लिए तैयार फोम - वे बायोमास या ऑक्सीजनेशन क्षमता को बाधित किए बिना फोम को दबा देते हैं।","machine translated - please check",
home.hero.5.desc,"Home page","Foam control agents formulated for aeration tanks &mdash; they suppress foam without inhibiting the biomass or the oxygenation capacity.",Gujarati,"એરિયેશન ટાંકીઓ માટે રચાયેલ ફોમ કોન્ટએક્સક્યુ0ક્યુએક્સએલ એજન્ટ્સ - તેઓ બાયોમાસ અથવા ઓક્સિજન ક્ષમતાને અવરોધ્યા વિના ફીણને દબાવી દે છે.","machine translated - please check",
home.presence.title,"Home page","25 Years Of Market Presence",Hindi,"25 वर्षों का बाजार उपस्थिति","machine translated - please check",
home.presence.title,"Home page","25 Years Of Market Presence",Gujarati,"25 વર્ષ સુધી બજારમાં હાજરી","machine translated - please check",
home.presence.body,"Home page","We supply “Out-performing products with outstanding services”, Our Aim has always been to reduce the cost of treatment to our customers and increase their profitability.",Hindi,"हम ""उत्कृष्ट सेवाओं के साथ आउट-परफॉर्मिंग पी.एक्स.क्यू.0क्यू.एक्स.डक्ट्स"" की आपूर्ति करते हैं, हमारा उद्देश्य हमेशा हमारे ग्राहकों के उपचार की लागत को कम करना और उनकी pROfitability को बढ़ाना है।","machine translated - please check",
home.presence.body,"Home page","We supply “Out-performing products with outstanding services”, Our Aim has always been to reduce the cost of treatment to our customers and increase their profitability.",Gujarati,"અમે ""ઉત્કૃષ્ટ સેવાઓ સાથે આઉટ-પર્ફોર્મિંગ પીએક્સક્યુ0ક્યુએક્સડક્ટ્સ"" પ્રદાન કરીએ છીએ, અમારો ઉદ્દેશ હંમેશા અમારા ગ્રાહકો માટે સારવારનો ખર્ચ ઘટાડવાનો અને તેમની pROfitability વધારવાનો છે.","machine translated - please check",
home.grid.polyelectrolytes.cat,"Home page"," Decanter, Clarifiers, and Sludge Dewatering  ",Hindi,"डेकांटर, क्लैज़र और स्लैज डीवेटरिंग","machine translated - please check",
home.grid.polyelectrolytes.cat,"Home page"," Decanter, Clarifiers, and Sludge Dewatering  ",Gujarati,"ડેકાન્ટર, ક્લેરિફાયર અને સ્લડ્જ ડીવેટરિંગ","machine translated - please check",
home.grid.boiler.cat,"Home page"," Boiler ",Hindi,बॉयलर,"machine translated - please check",
home.grid.boiler.cat,"Home page"," Boiler ",Gujarati,બોઈલર,"machine translated - please check",
home.grid.cooling.cat,"Home page"," Cooling Tower ",Hindi,"शीतलन टावर","machine translated - please check",
home.grid.cooling.cat,"Home page"," Cooling Tower ",Gujarati,"કૂલિંગ ટાવર","machine translated - please check",
home.grid.odour.cat,"Home page","Odour control chemicals for ETP and STP Plants",Hindi,"Odour Control Chemicals ETP और STP पौधों के लिए","machine translated - please check",
home.grid.odour.cat,"Home page","Odour control chemicals for ETP and STP Plants",Gujarati,"Odour Control Chemicals માટે ETP અને STP પ્લાન્ટ્સ માટે","machine translated - please check",
home.grid.colour.cat,"Home page","Dyes, Pigments and Chemicals",Hindi,"रंग, वर्णक और रसायन","machine translated - please check",
home.grid.colour.cat,"Home page","Dyes, Pigments and Chemicals",Gujarati,"રંગો, રંગદ્રવ્યો અને રસાયણો","machine translated - please check",
home.proof.stat1,"Home page","Supplying industrial water treatment since",Hindi,"औद्योगिक जल उपचार की आपूर्ति","machine translated - please check",
home.proof.stat1,"Home page","Supplying industrial water treatment since",Gujarati,"ઔદ્યોગિક જળ સારવાર પૂરી પાડવી","machine translated - please check",
home.proof.stat2,"Home page","Engineers, chemists, technicians and field staff",Hindi,"इंजीनियर, रसायनज्ञ, तकनीशियन और क्षेत्र के कर्मचारी","machine translated - please check",
home.proof.stat2,"Home page","Engineers, chemists, technicians and field staff",Gujarati,"ઈજનેરો, રસાયણશાસ્ત્રીઓ, ટેકનિશિયન અને ક્ષેત્રના કર્મચારીઓ","machine translated - please check",
home.proof.stat3,"Home page","Own laboratory and warehouse in Vadodara",Hindi,"एक्स.क्यू.0क्यू.एक्स. में अपना प्रयोगशाला और गोदाम","machine translated - please check",
home.proof.stat3,"Home page","Own laboratory and warehouse in Vadodara",Gujarati,"Vadodara માં પોતાની પ્રયોગશાળા અને વેરહાઉસ","machine translated - please check",
home.proof.stat4,"Home page","Product lines across chemicals and dewatering equipment",Hindi,"पी.एक्स.क्यू.0क्यू.एक्स. नलिकाएं, रसायन और निर्जलीकरण उपकरण","machine translated - please check",
home.proof.stat4,"Home page","Product lines across chemicals and dewatering equipment",Gujarati,"પી.એક્સ.ક્યુ.0.ક્યુ.એક્સ. નળીઓ રસાયણો અને ડીવોટરિંગ સાધનો વહન કરે છે","machine translated - please check",
home.proof.quote,"Home page","&ldquo;We shall always measure our success based on the amount of money we have saved for our customers, rather than the amount of money we have earned from them.&rdquo;",Hindi,"""हम हमेशा अपने ग्राहकों के लिए बचाई गई राशि के आधार पर अपनी सफलता को मापेंगे, न कि हमने उनसे जो राशि कमाई है।”","machine translated - please check",
home.proof.quote,"Home page","&ldquo;We shall always measure our success based on the amount of money we have saved for our customers, rather than the amount of money we have earned from them.&rdquo;",Gujarati,"“અમે અમારા ગ્રાહકો માટે બચત કરેલા નાણાંની માત્રા પર આધારિત સફળતાને હંમેશા માપીશું, તેના બદલે અમે તેમની પાસેથી કમાયેલા નાણાંની માત્રા પર આધારિત સફળતાને માપીશું.”","machine translated - please check",
home.strip.call,"Home page","Call Us",Hindi,"फ़ोन करें","machine translated - please check",
home.strip.call,"Home page","Call Us",Gujarati,"અમને કૉલ કરો","machine translated - please check",
home.strip.email,"Home page","Email Us",Hindi,"ईमेल करें","machine translated - please check",
home.strip.email,"Home page","Email Us",Gujarati,"અમને ઇમેઇલ કરો","machine translated - please check",
home.strip.cta,"Home page","Send Enquiry",Hindi,"पूछताछ भेजें","HAND-CORRECTED - please confirm",
home.strip.cta,"Home page","Send Enquiry",Gujarati,"પૂછપરછ મોકલો","HAND-CORRECTED - please confirm",
home.capability.eyebrow,"Home page","What We Bring To Your Plant",Hindi,"आपके संयंत्र में हम क्या लाते हैं","machine translated - please check",
home.capability.eyebrow,"Home page","What We Bring To Your Plant",Gujarati,"તમારા કારખાનામાં અમે શું લઈ આવ્યા છીએ?","machine translated - please check",
home.capability.title,"Home page","Capability Statement",Hindi,"क्षमता विवरण","machine translated - please check",
home.capability.title,"Home page","Capability Statement",Gujarati,"ક્ષમતા નિવેદન","machine translated - please check",
home.capability.1,"Home page","Large stock with a wide range of polymers covering the entire spectrum of charge density and molecular weights.",Hindi,"व्यापक श्रृंखला के बहुलकों के साथ एक बड़ा भंडार, जो आवेश घनत्व और आणविक भार के पूरे स्पेक्ट्रम को कवर करता है।","machine translated - please check",
